id,title,source,source_url,application_url,source_url_status,application_url_status,qualityScore,trustScore,reviewStatus,rejection_reason,qualityFlags
chalmers-scholarships-for-masters-studies-administered-by-chalmers,"Scholarships for master's studies, administered by Chalmers",Chalmers University of Technology,https://www.chalmers.se/en/education/application-and-admission/scholarships-for-fee-paying-students/,https://www.universityadmissions.se/intl/start,soft_404:200,ok:200,,65,expired,expired,source_verified; application_url_verified; official_provider; missing_eligibility; missing_documents; has_application_instructions; expired; broken_source_url; reject_candidate
lund-scholarships-at-lund-university,Scholarships at Lund University,Lund University,https://www.student.lth.se/english/masters-students/scholarships/,https://www.student.lth.se/english/masters-students/apply-for-courses/,ok:200,ok:200,16,65,rejected,no scholarship detected,source_verified; application_url_verified; official_provider; missing_eligibility; missing_documents; has_application_instructions; weak_content; reject_candidate
uu-external-funding-options,External funding options,Uppsala University,https://www.uu.se/en/study/masters-studies/scholarships/external-scholarships,https://www.uu.se/en/study/masters-studies/application,ok:200,ok:200,38,,rejected,expired,source_verified; application_url_verified; official_provider; missing_documents; expired; reject_candidate
gu-scholarships-provided-by-the-university,Scholarships provided by the University,University of Gothenburg,https://www.gu.se/en/study-in-gothenburg/apply/scholarships-for-fee-paying-students,https://www.gu.se/en/study-in-gothenburg/apply,ok:200,ok:200,23,18,expired,expired,source_verified; application_url_verified; official_provider; missing_amount; missing_eligibility; missing_documents; expired; reject_candidate
liu-scholarships-for-studies-in-sweden,Scholarships for studies in Sweden,Linköping University,https://si.se/en/apply/scholarships/,https://si.se/en/apply/,ok:200,ok:200,90,33,low_trust,low_trust,source_verified; application_url_verified; official_provider; missing_deadline; missing_documents; reject_candidate
mau-malm-university-masters-scholarship,Malmö University Master's Scholarship,Malmö University,https://mau.se/en/education/scholarships/,https://mau.se/en/education/applications-and-admissions/,ok:200,ok:200,38,28,expired,expired,source_verified; application_url_verified; official_provider; missing_documents; expired; reject_candidate
ju-scholarships-from-jnkping-university,Scholarships from Jönköping University,Jönköping University,https://ju.se/en/study-at-ju/application-and-admission/scholarships-and-funding.html,https://ju.se/en/about-us/brand-portal.html,ok:200,ok:200,98,38,low_trust,low_trust,source_verified; application_url_verified; official_provider; missing_documents; reject_candidate
ki-scholarships-provided-by-ki,Scholarships provided by KI,Karolinska Institutet,https://education.ki.se/bachelors-masters-studies/scholarships/the-ki-global-masters-scholarships-for-fee-paying-students,https://www.universityadmissions.se/en/fees-scholarships-residence-permit/pay-your-application-fee/,captcha:200,ok:200,,43,rejected,source URL broken,source_verified; application_url_verified; official_provider; broken_source_url; captcha_or_bot_wall; reject_candidate
hhs-read-more-about-the-scholarship-application-process-past-projects-and-scholarshi,"Read more about the scholarship, application process, past projects and scholarship holders here!",Stockholm School of Economics,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/gels-scholarship/,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/gels-scholarship/apply-for-scholarship/,ok:200,ok:200,38,28,expired,expired,source_verified; application_url_verified; official_provider; missing_documents; expired; reject_candidate
hhs-read-more-about-the-minor-field-studies-scholarship-here,Read more about the Minor Field Studies Scholarship here,Stockholm School of Economics,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/minor-field-studies/,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/minor-field-studies/application--admission/,ok:200,ok:200,87,28,low_trust,low_trust,source_verified; application_url_verified; official_provider; missing_deadline; missing_amount; missing_documents; reject_candidate
si-its-about-people-planet-and-profit-something-i-will-take-with-me-wherever-i-go,"“It’s about people, planet and profit – something I will take with me wherever I go”",Swedish Institute,https://si.se/en/bangaly-danfakhas-move-to-sweden-marks-a-new-chapter-in-sustainable-marketing/,https://si.se/en/bangaly-danfakhas-move-to-sweden-marks-a-new-chapter-in-sustainable-marketing/,ok:200,ok:200,90,,rejected,rejected,source_verified; application_url_verified; official_provider; missing_deadline; missing_documents; has_application_instructions; reject_candidate
hb-scholarships-from-the-university-of-bors,Scholarships from the University of Borås,University of Borås,https://www.hb.se/en/international-student/fees-and-scholarships/scholarships/#173427_0,https://www.hb.se/en/research/research-portal/research-areas/business-and-it/,captcha:200,captcha:200,,33,expired,expired,source_verified; application_url_verified; official_provider; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; weak_content; reject_candidate
wallenberg-wallenberg-academy-fellows-prolongation-grants,Wallenberg Academy Fellows prolongation grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/wallenberg-academy-fellows-prolongation-grants-2024,,captcha:200,instructions_only,,75,rejected,source URL broken,source_verified; official_provider; missing_deadline; missing_documents; missing_application_url; has_application_instructions; broken_source_url; captcha_or_bot_wall; reject_candidate
wallenberg-wallenberg-clinical-scholars-prolongation-grants,Wallenberg Clinical Scholars prolongation grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/wallenberg-clinical-scholars-prolongation-grants-2025,,captcha:200,instructions_only,,75,rejected,source URL broken,source_verified; official_provider; missing_deadline; missing_documents; missing_application_url; has_application_instructions; broken_source_url; captcha_or_bot_wall; reject_candidate
wallenberg-scholarship-programs,Scholarship programs,Wallenberg Foundations,https://kaw.wallenberg.org/en/scholarship-programs-20242025,,captcha:200,instructions_only,,75,rejected,source URL broken,source_verified; official_provider; missing_deadline; missing_documents; missing_application_url; has_application_instructions; broken_source_url; captcha_or_bot_wall; reject_candidate
wallenberg-proof-of-concept-grants,Proof of Concept grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/awarded-proof-concept-grants-2025-calls,,captcha:200,instructions_only,,75,rejected,source URL broken,source_verified; official_provider; missing_deadline; missing_documents; missing_application_url; has_application_instructions; broken_source_url; captcha_or_bot_wall; reject_candidate
wallenberg-strategic-grants,Strategic Grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/strategic-grants,,captcha:200,instructions_only,,50,rejected,source URL broken,source_verified; official_provider; missing_deadline; missing_application_url; has_application_instructions; broken_source_url; captcha_or_bot_wall; generic_title; reject_candidate
forte2-funding-opportunities,Funding opportunities,Forte,https://forte.se/en/funding/funding-opportunities,,ok:200,missing_url,,,rejected,no usable application path,source_verified; official_provider; missing_application_url; no_application_path; generic_title; weak_content; reject_candidate
stint-jsps-invitational-fellowship-long-term-l,JSPS Invitational Fellowship Long-term [L],STINT,https://www.jsps.go.jp/english/e-inv/index.html,https://www-shinsei.jsps.go.jp/topkokusai/top_kokusai.html,ok:200,ok:200,97,13,low_trust,low_trust,source_verified; application_url_verified; recurring_deadline; missing_amount; reject_candidate
stint-the-moonshot-program-various-funding-agencies,The Moonshot Program (various funding agencies),STINT,https://www8.cao.go.jp/cstp/english/moonshot/top.html,,ok:200,missing_url,,,rejected,expired,source_verified; missing_amount; missing_application_url; no_application_path; expired; weak_content; reject_candidate
hkr-scholarship,Scholarship,Kristianstad University,https://www.hkr.se/en/study-at-hkr/non-exchange-student/scholarship/,https://www.hkr.se/en/study-at-hkr/exchange-student/application-and-admission/living-costs/,ok:200,ok:200,3,55,expired,expired,source_verified; application_url_verified; official_provider; missing_documents; has_application_instructions; expired; generic_title; reject_candidate
hjart-hjrt-lungfondens-forskningsanslag,Hjärt-Lungfondens forskningsanslag,Swedish Heart-Lung Foundation,https://www.hjart-lungfonden.se/forskning/,https://f3app.prod.f3.hjart-lungfonden.se/?returnUrl=applications,ok:200,ok:200,,,rejected,no scholarship detected,source_verified; application_url_verified; official_provider; missing_deadline; missing_documents; has_application_instructions; generic_title; weak_content; reject_candidate
chevening-more-on-chevening-scholarships,More on Chevening Scholarships,Chevening Scholarships,https://www.chevening.org/who-can-apply,https://www.chevening.org/scholarships/who-can-apply/,ok:200,ok:200,78,18,low_trust,low_trust,source_verified; application_url_verified; official_provider; missing_deadline; missing_eligibility; missing_documents; reject_candidate
rhodes-why-apply-for-the-rhodes-scholarship,Why Apply for the Rhodes Scholarship?,Rhodes Trust,https://www.ox.ac.uk/admissions/graduate,,blocked:403,missing_url,,18,broken_link,source URL broken,official_provider; missing_deadline; missing_amount; missing_eligibility; missing_documents; missing_application_url; no_application_path; broken_source_url; reject_candidate
daad-find-scholarships,Find scholarships,DAAD Scholarships,https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/,,ok:200,instructions_only,51,25,low_trust,low_trust,source_verified; missing_documents; missing_application_url; has_application_instructions; generic_title; reject_candidate
emjm-type-of-degree-awarded,Type of degree awarded,Erasmus Mundus Joint Masters,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,https://education.ec.europa.eu/news/why-choose-erasmus-mundus-as-an-international-student,captcha:200,captcha:200,,,rejected,expired,source_verified; application_url_verified; official_provider; missing_eligibility; missing_documents; expired; broken_source_url; broken_application_url; captcha_or_bot_wall; weak_content; reject_candidate
msca-what-does-the-funding-cover,What does the funding cover?,Marie Sklodowska-Curie Actions,https://marie-sklodowska-curie-actions.ec.europa.eu/actions/doctoral-networks,"https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/horizon-msca-2022-dn-01-01;callCode=null;freeTextSearchKeyword=;matchWholeText=true;typeCodes=1,0;statusCodes=31094501,31094502,31094503;programmePeriod=2021%20-%202027;programCcm2Id=43108390;programDivisionCode=43108473;focusAreaCode=null;destination=null;mission=null;geographicalZonesCode=null;programmeDivisionProspect=null;startDateLte=null;startDateGte=null;crossCuttingPriorityCode=null;cpvCode=null;performanceOfDelivery=null;sortQuery=sortStatus;orderBy=asc;onlyTenders=false;topicListKey=topicSearchTablePageState",captcha:200,ok:200,,,rejected,expired,source_verified; application_url_verified; official_provider; missing_documents; has_application_instructions; expired; broken_source_url; captcha_or_bot_wall; weak_content; reject_candidate
spos-doctoral-student-position-in-natural-sciences-specializing-in-physical-geography,"Doctoral Student Position in Natural Sciences, Specializing in Physical Geography, Sweden",Scholarship Positions,https://scholarship-positions.com/doctoral-student-position-in-natural-sciences-specializing-in-physical-geography-sweden/2026/01/07/,https://web103.reachmee.com/ext/I005/1035/apply?site=7&lang=UK&validator=9b89bead79bb7258ad55c8d75228e5b7&job_id=38805,captcha:200,login_wall:200,,,expired,expired,source_verified; application_url_verified; aggregator_source; missing_documents; has_application_instructions; expired; broken_source_url; broken_application_url; login_wall; captcha_or_bot_wall; reject_candidate
